X,Y,UsoVegetacaoIBGE_tif,altitude_br_tif,declividade_br_tif,density3_br_tif,ModisGPP_MOD17A2_2010_rec_tif,ModisNPP_MOD17A3_2010_rec_tif,ModisVCF_MOD44B_2010_rec_tif,sa2001tree_br_tif,UsoAntropicoIBGE_tif
-54.79333799,0.356794824,2,523.74,397424.41,11.81,603,24508,62,82,1
-49.35188899,-6.817918176,5,267.48,214527.7,7.53,252,16311,15,23,7
-51.90178699,-7.126239176,13,246.34,34914.86,21.01,677,24656,75,56,1
-57.02658199,-7.226235176,13,244.61,130653.3,19.69,645,26145,81,84,1
-47.01864899,-1.734788176,5,68.47,143541.3,17.44,391,22485,19,13,7
-51.65179699,-5.992951176,5,325.16,217051.09,17.19,639,23860,53,83,7
-52.50176299,-6.217942176,16,180.74,10990.97,25.82,654,25004,34,69,1
-56.14328399,-7.501224176,16,276.35,81799.88,22.54,695,25559,79,60,1
-49.24355999,-2.034776176,24,14.19,15933.69,12.04,637,24133,59,36,1
-52.95174499,-7.726215176,16,270.4,128249.9,14.69,650,25026,75,59,1
-56.60159899,1.623410824,2,375.3,37059.47,15.48,637,25763,77,83,1
-54.16002999,-8.901168176,2,338.48,87441.1,20.26,693,24955,76,54,1
-54.51001599,0.323462824,2,329.25,160550.41,20.74,266,23408,63,80,1
-54.90999999,-2.568088176,28,50.36,177647.2,12.23,262,14905,69,69,1
-57.15157699,-4.426347176,28,97.8,44430.74,26.33,614,23380,81,76,1
-48.82690999,-4.459679176,5,126.58,102065.4,20.25,360,16455,17,12,7
-53.96837099,-7.634552176,16,292.53,132604.5,19.58,606,25207,79,66,1
-55.11832499,2.090058824,2,366.79,248103.2,22.54,701,26150,76,80,1
-49.91853299,-0.493171176,12,21.31,14047.24,18.68,67,25208,56,88,1
-50.68516899,-8.634512176,5,213.15,131097.8,16.36,401,14732,5,64,7
-53.05174099,-0.734828176,1,217.53,149391.5,23.56,637,24528,80,80,1
-49.61021199,-2.568088176,18,19.76,53832.04,18.64,657,25644,73,65,1
-50.52684199,-1.309805176,18,15.17,73022.27,10.43,485,23074,80,94,1
-48.53525499,-1.709789176,5,46.8,46196.05,21.17,664,24660,71,14,2
-54.11836499,-3.609713176,28,215.6,148790.5,13.25,530,25372,61,72,1
-55.96829099,-2.318098176,28,77.62,40381.18,11.83,557,26376,50,82,1
-57.58489299,1.665075824,2,305.05,58501.96,12.15,184,27580,70,60,1
-55.27665199,-2.268100176,5,1.8,63057.2,24.28,568,26902,71,41,7
-53.51005599,-1.401468176,28,135.23,259915.09,21.26,640,26768,75,99,1
-49.71020799,-8.042869176,5,230.2,301379.09,8.53,69,15326,19,37,7
-49.68520899,-3.609713176,18,46.82,42507.57,27.32,598,24362,49,39,1
-49.75187299,-7.451226176,34,203.15,62163.39,16.2,505,23313,31,19,1
-56.60159899,-9.192823176,16,225.05,71703.79,16.57,316,18399,52,84,1
-49.79353799,-0.543169176,12,17.12,14473.44,12.56,364,22134,35,80,1
-56.11828499,-4.518010176,2,134.94,321898.41,13.74,551,26053,74,80,1
-53.37672799,-1.526463176,28,66.13,74615.54,16.87,634,26853,63,55,1
-58.35986199,-6.742921176,2,251.63,285373.81,16.84,554,24979,78,74,1
-48.82690999,-3.709709176,2,83.46,103864.7,24.72,581,25215,28,74,1
-57.95987799,0.606784824,1,370.33,745006.12,18.81,515,26547,60,91,1
-47.26030599,-3.568048176,5,172.74,416688.69,10.59,276,13569,13,38,7
-55.10999199,-6.659591176,16,254.89,141143.09,20.65,654,23706,76,80,1
-51.06015399,-2.734748176,28,65.81,20898.04,17.07,561,22299,59,80,1
-56.65159699,-8.459519176,39,424.09,303707,24.5,650,21738,81,64,1
-48.78524499,-3.101400176,18,79.22,36480.05,21.83,660,23766,77,69,1
-58.12653799,-0.351510176,2,144.7,276789.09,19.19,298,26488,77,84,1
-58.69318199,0.973436824,2,288.56,807741.31,19.29,312,24060,67,78,1
-53.47672399,-6.251274176,16,248.09,134360.41,17.44,656,25327,61,40,1
-54.24335999,-1.343137176,16,411.27,431716.81,15.65,528,25361,68,80,1
-53.02674199,-1.293139176,5,26.3,120618.9,26.54,632,20780,43,88,1
-57.16824299,-6.226275176,2,238.34,286193.81,17.73,33,23169,79,86,1
-51.36014199,-9.334484176,5,396.58,153590.5,14.94,322,16037,24,10,7
-55.65163699,-0.793159176,2,306.3,101984.3,20.16,151,26677,72,83,1
-53.41005999,-8.601180176,5,275.09,128670.7,25.52,164,25008,77,62,1
